Nome_ID,Case,Simulation,Elemento,Measurement,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
1,,1,_abcn_l01-sec, P1 (kW),1.1091,1.10297,0.963542,1.02735,0.983842,0.957099,0.979465,0.920097,0.932631,0.923137,0.932102,0.89559,0.927639,0.889463,0.913585,0.905162,0.832596,0.960706,0.85162,0.921513,1.02535,1.14458,1.46794,2.07473,2.25674,1.65256,1.5421,1.61985,1.66939,1.56014,1.44666,1.429,1.41807,1.45268,1.32176,1.38673,1.35286,1.4954,1.67111,1.49047,1.54277,1.45533,1.50302,1.75578,1.80468,1.58362,1.7315,1.46855,1.66169,1.49212,1.32712,1.32837,1.49081,1.47763,1.40873,1.50468,1.48237,1.5251,1.44596,1.42501,1.47644,1.46072,1.41401,1.50115,1.59643,1.66829,1.50552,1.67966,1.70736,1.98404,2.16617,2.33579,2.38177,2.47655,2.46348,2.39429,2.32015,2.2812,2.16772,2.04634,2.02635,1.93703,1.826,1.72071,1.73802,1.64654,1.61727,1.54859,1.51709,1.49543,1.38881,1.32058,1.24195,1.32002,1.13124,1.10911,
2,,1,_abcn_l01-sec, Q1 (kvar),0.922063,0.922125,0.922094,0.922182,0.922201,0.922138,0.922277,0.922183,0.922221,0.922271,0.922264,0.922202,0.92226,0.922212,0.922284,0.922321,0.922197,0.92227,0.922224,0.922168,0.922186,0.921818,0.921166,0.922048,0.921878,0.92232,0.9226,0.922571,0.922025,0.921955,0.922361,0.922751,0.922648,0.922701,0.922392,0.922573,0.922514,0.922443,0.92318,0.922822,0.922961,0.922489,0.92245,0.922295,0.922439,0.922396,0.922196,0.922271,0.92216,0.922123,0.92219,0.922236,0.922292,0.922292,0.922194,0.922366,0.922318,0.922174,0.922188,0.922296,0.922507,0.922246,0.922338,0.92224,0.922189,0.922246,0.922027,0.921987,0.922284,0.922415,0.921768,0.921507,0.920733,0.921006,0.920449,0.920893,0.920761,0.920756,0.921235,0.92115,0.921382,0.921345,0.921498,0.921342,0.921517,0.921743,0.921575,0.921575,0.921371,0.921604,0.921783,0.921824,0.92175,0.921739,0.921983,0.922071,
3,,1,_abcn_l01-sec, P2 (kW),0.834729,0.850659,0.728874,0.815014,0.779738,0.755035,0.801961,0.738203,0.752006,0.752499,0.761256,0.726147,0.762682,0.718969,0.754857,0.756869,0.675352,0.799957,0.696499,0.721407,0.784631,0.764229,0.912491,1.65589,1.79002,1.33886,1.27832,1.35563,1.32458,1.24245,1.19256,1.21775,1.19172,1.24245,1.08407,1.15445,1.13198,1.23478,1.4497,1.26643,1.34343,1.21384,1.23486,1.37665,1.41926,1.25267,1.37911,1.16812,1.30551,1.1704,1.04833,1.05609,1.2196,1.19826,1.1324,1.23339,1.20805,1.22719,1.15751,1.15402,1.22114,1.16779,1.128,1.19796,1.25905,1.31617,1.17548,1.28289,1.28138,1.46364,1.51352,1.55545,1.5403,1.69689,1.62783,1.64415,1.56202,1.52783,1.4697,1.36326,1.35194,1.28337,1.22522,1.10956,1.1772,1.13663,1.09082,1.03693,0.994861,1.02251,0.949843,0.927043,0.846889,0.928835,0.820975,0.834729,
4,,1,_abcn_l01-sec, Q2 (kvar),0.702271,0.702214,0.70205,0.70205,0.702004,0.701964,0.701941,0.701896,0.701909,0.701887,0.701894,0.701851,0.70187,0.701854,0.70185,0.701825,0.701781,0.701879,0.701792,0.701947,0.70214,0.702554,0.703283,0.703798,0.704184,0.703026,0.702847,0.702896,0.703036,0.702735,0.702586,0.702624,0.702651,0.702635,0.702497,0.702613,0.702504,0.702767,0.703152,0.702806,0.702794,0.702671,0.702808,0.703564,0.703721,0.703118,0.70326,0.70278,0.703192,0.702821,0.702528,0.702547,0.702714,0.702738,0.702619,0.702764,0.702735,0.702807,0.702703,0.702662,0.70275,0.702774,0.702746,0.702855,0.703088,0.703268,0.702856,0.703362,0.703721,0.704807,0.705546,0.70652,0.706458,0.706478,0.706426,0.705977,0.705746,0.705614,0.705334,0.70493,0.704995,0.70468,0.704278,0.704035,0.703938,0.703689,0.703627,0.703441,0.703344,0.703211,0.703018,0.702787,0.702678,0.702747,0.702369,0.702271,
5,,1,_abcn_l01-sec, P3 (kW),0.861236,0.871188,0.749758,0.829098,0.798425,0.763656,0.816841,0.747007,0.767311,0.772369,0.779554,0.734984,0.775305,0.732237,0.77035,0.773254,0.683089,0.805978,0.704803,0.744157,0.825972,0.830117,0.961259,1.59313,1.69596,1.3286,1.29754,1.35014,1.29023,1.17955,1.1784,1.25318,1.23238,1.26824,1.11226,1.19634,1.15731,1.25285,1.50595,1.31572,1.37604,1.22664,1.25475,1.43091,1.48598,1.29531,1.37526,1.17906,1.31779,1.17147,1.05913,1.07925,1.21649,1.1996,1.12974,1.23726,1.2109,1.21876,1.15988,1.16528,1.2449,1.18495,1.16874,1.21905,1.28438,1.34925,1.17066,1.31061,1.39318,1.6414,1.68683,1.82143,1.75244,1.84282,1.75324,1.71794,1.63805,1.60639,1.57858,1.46204,1.49082,1.404,1.33073,1.21883,1.26026,1.20747,1.15931,1.10336,1.03582,1.06319,1.00884,0.968179,0.888195,0.958426,0.850118,0.861245,
6,,1,_abcn_l01-sec, Q3 (kvar),0.727411,0.727462,0.727243,0.727422,0.727351,0.727335,0.727407,0.727312,0.727323,0.727314,0.727344,0.7273,0.727352,0.727278,0.727331,0.727333,0.727207,0.727432,0.727247,0.727235,0.727265,0.727102,0.72743,0.730021,0.730643,0.72879,0.728507,0.728781,0.728802,0.728627,0.728404,0.728254,0.728215,0.728426,0.728025,0.728064,0.728102,0.728383,0.728683,0.728389,0.728463,0.728329,0.728281,0.728608,0.728722,0.728315,0.728891,0.728211,0.72856,0.728299,0.727956,0.727926,0.728405,0.72822,0.728184,0.72836,0.728356,0.728462,0.728246,0.728188,0.728255,0.728209,0.728079,0.728314,0.728481,0.728606,0.728263,0.728406,0.728153,0.728219,0.728271,0.728225,0.728684,0.72929,0.729192,0.72912,0.729001,0.728877,0.728501,0.728279,0.728018,0.727918,0.72785,0.727617,0.727789,0.727563,0.727602,0.727547,0.727517,0.727624,0.727397,0.727505,0.727333,0.727563,0.727371,0.727418,
7,,1,_abcn_l01-sec, P4 (kW),5.17645E-05,4.66502E-05,4.25431E-05,3.918E-05,3.34209E-05,4.24461E-05,2.74752E-05,3.54192E-05,3.05606E-05,2.30938E-05,2.61159E-05,3.24996E-05,2.73399E-05,2.97725E-05,2.27317E-05,1.83179E-05,2.72979E-05,3.0594E-05,2.67894E-05,3.11021E-05,2.59962E-05,6.45973E-05,0.000174534,0.000232398,0.000319869,0.000109258,5.61697E-05,7.73423E-05,0.000150981,0.000167935,8.79835E-05,2.14903E-05,2.66566E-05,3.61392E-05,4.44052E-05,2.05613E-05,3.20804E-05,5.45361E-05,-1.59671E-07,1.90752E-05,4.17402E-06,4.59719E-05,3.9427E-05,6.45793E-05,5.75185E-05,4.64236E-05,0.000117194,6.91143E-05,9.37465E-05,9.86146E-05,6.97869E-05,5.52894E-05,7.70288E-05,5.49002E-05,7.65443E-05,5.98693E-05,7.05611E-05,9.74127E-05,8.13383E-05,6.13793E-05,3.5035E-05,6.51406E-05,5.02882E-05,7.41773E-05,8.90938E-05,8.59071E-05,9.46427E-05,8.86721E-05,4.3897E-05,6.01024E-06,3.02787E-06,7.42989E-05,0.000163825,0.000119359,0.00018251,8.80499E-05,0.000141145,0.00014391,7.11893E-05,9.09542E-05,4.67979E-05,5.01336E-05,5.05557E-05,8.64822E-05,5.83889E-05,1.65047E-06,4.98763E-05,6.85452E-05,0.000105138,8.72489E-05,5.39287E-05,7.40435E-05,8.33076E-05,9.78105E-05,6.15109E-05,5.17708E-05,
8,,1,_abcn_l01-sec, Q4 (kvar),0.000448926,0.000413426,0.000378246,0.000350611,0.000327974,0.000344166,0.000292222,0.000310809,0.000297475,0.000273543,0.000278167,0.00029269,0.000278952,0.000286313,0.000264419,0.000248043,0.000274975,0.000285172,0.000271833,0.000314885,0.000351693,0.000639544,0.00128745,0.00107552,0.0013475,0.000628367,0.000447754,0.000499887,0.000767933,0.000764535,0.000501256,0.000320444,0.000341729,0.000344613,0.000389276,0.000348225,0.000358289,0.000453562,0.000301204,0.000324385,0.000299236,0.000421402,0.000457871,0.000679015,0.000672914,0.000558004,0.000721928,0.00054631,0.00069007,0.000624292,0.000499122,0.000463532,0.000519057,0.000516743,0.00052789,0.000499055,0.000511821,0.000595411,0.000548385,0.000487139,0.000424269,0.000524469,0.000465488,0.00054544,0.00062656,0.000649677,0.000662063,0.000782652,0.000719377,0.000955016,0.00152231,0.00206687,0.00247032,0.00222087,0.00258959,0.00219107,0.00223051,0.00219662,0.00183228,0.00177278,0.00165656,0.00158432,0.00136591,0.00140454,0.00123423,0.00104535,0.00111991,0.00106938,0.00116302,0.000980288,0.000825211,0.000723212,0.000728696,0.0007441,0.000524694,0.000448959,
9,,1,_abcn_l01-sec, V1,126.174,126.18,126.209,126.204,126.219,126.215,126.228,126.23,126.235,126.245,126.243,126.24,126.241,126.244,126.248,126.254,126.252,126.232,126.251,126.234,126.214,126.152,126.003,125.889,125.81,126.049,126.114,126.08,126.007,126.007,126.102,126.16,126.159,126.15,126.156,126.155,126.154,126.109,126.129,126.155,126.135,126.116,126.097,126.041,126.043,126.082,126.017,126.089,126.037,126.072,126.124,126.133,126.086,126.078,126.093,126.085,126.09,126.063,126.087,126.105,126.113,126.095,126.129,126.091,126.065,126.053,126.047,126.015,126.072,126.028,125.92,125.93,125.855,125.805,125.761,125.751,125.77,125.782,125.852,125.872,125.914,125.921,125.954,125.975,125.969,125.984,125.989,126.011,125.989,126.019,126.067,126.092,126.106,126.088,126.154,126.174,
10,,1,_abcn_l01-sec, VAngle1,-30.2073,-30.1964,-30.1668,-30.1643,-30.1524,-30.1492,-30.138,-30.1332,-30.1315,-30.1245,-30.1242,-30.122,-30.1232,-30.1203,-30.118,-30.1119,-30.1106,-30.1274,-30.111,-30.1396,-30.1751,-30.2642,-30.4171,-30.439,-30.5004,-30.3052,-30.2546,-30.2727,-30.3356,-30.318,-30.2456,-30.215,-30.2193,-30.215,-30.2154,-30.2277,-30.2169,-30.259,-30.2605,-30.2277,-30.2415,-30.2486,-30.2772,-30.3613,-30.3666,-30.3119,-30.3447,-30.2815,-30.3376,-30.2926,-30.2439,-30.2412,-30.2708,-30.2886,-30.2661,-30.2786,-30.2715,-30.2915,-30.2743,-30.2611,-30.2624,-30.2768,-30.2553,-30.2816,-30.3123,-30.33,-30.3175,-30.3747,-30.3716,-30.4753,-30.6013,-30.6561,-30.6944,-30.7011,-30.7364,-30.7177,-30.6953,-30.6836,-30.6305,-30.6013,-30.5863,-30.5666,-30.518,-30.4954,-30.4839,-30.4658,-30.4539,-30.4255,-30.4318,-30.3954,-30.357,-30.3116,-30.2977,-30.3051,-30.2326,-30.2074,
